"parent","parent_plain","child","child_plain","fiscal_year","federal_revenue","cpi_auc_start","cpi_auc_end","inflation_rate","federal_revenue_adjusted","percent_total","federal_revenue_source_url","federal_revenue_source_url_name","cpi_source_url","cpi_source_url_name"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Old-Age and Survivors Insurance Trust Fund","Social Security - Old-Age and Survivors Insurance Trust Fund Taxes",2018,693831030509,252.439,274.31,1.08663875233225,753943685321,62.2,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Old-Age and Survivors Insurance Trust Fund Refunds","Social Security - Old-Age and Survivors Insurance Trust Fund Taxes Refunds",2018,-2615773850,252.439,274.31,1.08663875233225,-2842401233,-0.23,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Disability Insurance Trust Fund","Social Security - Disability Insurance Trust Fund Taxes",2018,164149758351,252.439,274.31,1.08663875233225,178371488610,14.72,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Disability Insurance Trust Fund Refunds","Social Security - Disability Insurance Trust Fund Taxes Refunds",2018,-618084150,252.439,274.31,1.08663875233225,-671634190,-0.06,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Hospital Insurance Trust Fund","Medicare Part A Taxes",2018,260659025172,252.439,274.31,1.08663875233225,283242197897,23.37,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Other Retirement","Railroad Retirement","Railroad Retirement",2018,5753160813,252.439,274.31,1.08663875233225,6251607488,56.12,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Other Retirement","Railroad Retirement Refunds","Railroad Retirement Refunds",2018,-4143919,252.439,274.31,1.08663875233225,-4502943,-0.04,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","","",2018,45041614845,252.439,274.31,1.08663875233225,48943964158,1.35,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Deposits by States","Deposits by States",2018,36221878723,252.439,274.31,1.08663875233225,39360097103,80.42,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Federal Unemployment Taxes","Federal Unemployment Taxes",2018,8806552587,252.439,274.31,1.08663875233225,9569541316,19.55,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Federal Unemployment Taxes Refunds","Federal Unemployment Taxes Refunds",2018,-120631589,252.439,274.31,1.08663875233225,-131082959,-0.27,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Railroad Unemployment Taxes","Railroad Unemployment Taxes",2018,133815123,252.439,274.31,1.08663875233225,145408698,0.3,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","","",2018,10251841223,252.439,274.31,1.08663875233225,11140047956,0.31,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Federal Employees' Retirement--Employee Share","Federal Government Pension: FERS",2018,4471710154,252.439,274.31,1.08663875233225,4859133543,43.62,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Non-Federal Employees Retirement","Non-Federal Employees Retirement",2018,31114174,252.439,274.31,1.08663875233225,33809868,0.3,"Monthly Treasury Statement","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
